# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	328
#@/user_id	441ddf59-dd76-4272-9cbf-705f2feb15bd
a 	啊	c=2 d=0.501902 t=328
an hei 	暗黑	c=0 d=0.0995012 t=328
an hei yuan shou 	暗黑元首	c=1 d=1 t=328
an ye 	暗夜	c=0 d=0.0214381 t=328
an ye lie shou 	暗夜獵手	c=1 d=0.215456 t=328
an zhuang 	安裝	c=2 d=0.498655 t=328
bang wo 	幫我	c=1 d=0.66034 t=328
bao cun 	保存	c=1 d=0.219808 t=328
bei 	盃	c=0 d=0.0299692 t=328
bei ke 	貝殼	c=1 d=0.316637 t=328
bi shi 	筆試	c=1 d=0.677057 t=328
bi zhi 	壁紙	c=1 d=0.232236 t=328
bian 	變	c=1 d=0.690734 t=328
bian cheng 	編程	c=1 d=0.794534 t=328
bian liang 	變量	c=1 d=0.305746 t=328
bian xie 	編寫	c=1 d=0.440432 t=328
biao qing 	表情	c=2 d=1.93124 t=328
bing 	並	c=1 d=0.280832 t=328
bing fa 	併發	c=1 d=0.362402 t=328
bu hao 	不好	c=0 d=0.0826959 t=328
bu hao ye neng gou 	不好也能夠	c=1 d=0.831104 t=328
bu he shi 	不合適	c=1 d=0.588605 t=328
can shu 	參數	c=2 d=1.57604 t=328
cang 	藏	c=1 d=0.980199 t=328
cang zi shi 	藏字石	c=1 d=0.970446 t=328
chao ji 	超級	c=1 d=0.344227 t=328
chao ji jian li 	超級簡歷	c=2 d=0.650931 t=328
chen 	陳	c=9 d=5.12291 t=328
cheng gong 	成功	c=1 d=0.293758 t=328
cheng shou 	承受	c=0 d=0.0453845 t=328
cheng shou zhu 	承受住	c=1 d=0.45612 t=328
cheng yuan 	成員	c=1 d=0.304221 t=328
chong die 	重疊	c=1 d=0.843665 t=328
chu li 	處理	c=2 d=0.754471 t=328
chuang jian 	創建	c=1 d=0.2334 t=328
ci ku 	詞庫	c=4 d=3.07566 t=328
da liang 	大量	c=3 d=1.25173 t=328
da san 	大三	c=1 d=0.647265 t=328
da xue 	大學	c=1 d=0.224249 t=328
da xue sheng 	大學生	c=1 d=0.427415 t=328
